month,month_name,regime,policy,picking_workers,packing_workers,dispatch_workers,total_workers,total_orders,urgent_orders,normal_orders,urgent_share,total_sla,urgent_sla,normal_sla,mean_system_time_min,p90_system_time_min,urgent_late_orders,normal_late_orders,completed_orders,unfinished_orders,unfinished_urgent_orders,unfinished_normal_orders,backlog_share,estimated_late_cost,estimated_worker_cost,estimated_total_cost,p_urgent_overall,p_urgent_pick,p_urgent_pack,p_urgent_dispatch,decisions_total,decisions_pick,decisions_pack,decisions_dispatch,cost_late_urgent,cost_late_normal,worker_cost_per_hour,hours_per_worker_month,feasible,urgent_sla_target,normal_sla_target,sla_violation,p90_total_cost,prob_meets_sla_targets,replication_count,evaluation_stage
12,December,s25_14_7,fifo,25,14,7,46,41687.0,10401.333333333334,31285.666666666668,0.24946666666666664,0.8573689709937421,0.6084716521645807,0.9400800548555331,198.17961832047078,481.1567801555556,4083.0,1887.0,39195.666666666664,2491.3333333333335,604.3333333333334,1887.0,0.05933333333333333,80115.0,132480.0,212595.0,,,,,,,,,15.0,10.0,18.0,160.0,False,0.95,0.8,0.3415333333333333,225353.0,0.0,3,validated
12,December,s25_14_7,rl3_dqn,25,14,7,46,41687.0,10401.333333333334,31285.666666666668,0.24946666666666664,0.9390681661572821,0.9992953761010654,0.9189727157133385,198.22366876124383,590.4281063321404,7.333333333333333,2551.3333333333335,39128.333333333336,2558.6666666666665,7.333333333333333,2551.3333333333335,0.06093333333333332,25623.333333333332,132480.0,158103.33333333334,0.3997722024601686,0.26687558374115566,0.7322905487773803,1.0,44712.333333333336,34553.0,5675.333333333333,4484.0,15.0,10.0,18.0,160.0,True,0.95,0.8,0.0,168923.0,1.0,3,validated
12,December,s25_14_7,urgent_first,25,14,7,46,41687.0,10401.333333333334,31285.666666666668,0.24946666666666664,0.9266232853387683,0.9996562723785966,0.9022817133249567,168.6363044886825,610.2569892377777,3.6666666666666665,3072.6666666666665,39119.666666666664,2567.3333333333335,1.0,2566.3333333333335,0.06113333333333334,30781.666666666668,132480.0,163261.66666666666,,,,,,,,,15.0,10.0,18.0,160.0,True,0.95,0.8,0.0,172993.0,1.0,3,validated
12,December,s26_14_7,fifo,26,14,7,47,41687.0,10401.333333333334,31285.666666666668,0.24946666666666664,0.8809172518249698,0.682998545310797,0.9467741497670579,174.1025935875216,437.45001193999997,3323.3333333333335,1675.3333333333333,39467.0,2220.0,544.6666666666666,1675.3333333333333,0.0529,66603.33333333333,135360.0,201963.33333333334,,,,,,,,,15.0,10.0,18.0,160.0,False,0.95,0.8,0.2670333333333333,219823.0,0.0,3,validated
12,December,s26_14_7,rl3_dqn,26,14,7,47,41687.0,10401.333333333334,31285.666666666668,0.24946666666666664,0.9452039712059824,0.9993297456404889,0.9271439131765041,175.30530227620122,537.20837514934,7.0,2293.0,39387.0,2300.0,7.0,2293.0,0.05483333333333334,23035.0,135360.0,158395.0,0.43141603390461647,0.26626766680634933,0.6569714340581813,1.0,49712.333333333336,33967.666666666664,9879.666666666666,5865.0,15.0,10.0,18.0,160.0,True,0.95,0.8,0.0,168414.0,1.0,3,validated
12,December,s26_14_7,urgent_first,26,14,7,47,41687.0,10401.333333333334,31285.666666666668,0.24946666666666664,0.9385839208730725,0.9997800156113885,0.9181700769939857,151.29241435900641,576.1265471872224,2.3333333333333335,2576.6666666666665,39389.0,2298.0,1.0,2297.0,0.054766666666666665,25801.666666666668,135360.0,161161.66666666666,,,,,,,,,15.0,10.0,18.0,160.0,True,0.95,0.8,0.0,171617.0,1.0,3,validated
12,December,s27_14_7,fifo,27,14,7,48,41687.0,10401.333333333334,31285.666666666668,0.24946666666666664,0.8887646975202005,0.7012865489716239,0.9511838792118227,160.67606765353207,413.12483870277794,3138.3333333333335,1535.6666666666667,39660.333333333336,2026.6666666666667,491.0,1535.6666666666667,0.0483,62431.666666666664,138240.0,200671.66666666666,,,,,,,,,15.0,10.0,18.0,160.0,False,0.95,0.8,0.2487,219850.0,0.0,3,validated
12,December,s27_14_7,rl3_dqn,27,14,7,48,41687.0,10401.333333333334,31285.666666666668,0.24946666666666664,0.9488006931544709,0.9991707103821645,0.9319938857185388,165.32417338691738,504.9289068100367,8.666666666666666,2139.0,39539.333333333336,2147.6666666666665,8.666666666666666,2139.0,0.051199999999999996,21520.0,138240.0,159760.0,0.3942954957851523,0.26581223224451417,0.4125073507238717,0.9676571823860872,59611.333333333336,33208.333333333336,19590.333333333332,6812.666666666667,15.0,10.0,18.0,160.0,True,0.95,0.8,0.0,169391.0,1.0,3,validated
12,December,s27_14_7,urgent_first,27,14,7,48,41687.0,10401.333333333334,31285.666666666668,0.24946666666666664,0.9442677098539495,0.9997181439949925,0.9257617850532606,146.1855160191317,561.4495758572223,3.0,2337.3333333333335,39541.333333333336,2145.6666666666665,1.0,2144.6666666666665,0.051166666666666666,23418.333333333332,138240.0,161658.33333333334,,,,,,,,,15.0,10.0,18.0,160.0,True,0.95,0.8,0.0,172551.0,1.0,3,validated
12,December,s27_15_7,fifo,27,15,7,49,41687.0,10401.333333333334,31285.666666666668,0.24946666666666664,0.8900915207799344,0.7044909701819063,0.9518899645429576,158.37750973662313,408.6966009466667,3105.6666666666665,1513.3333333333333,39692.0,1995.0,481.6666666666667,1513.3333333333333,0.047599999999999996,61718.333333333336,141120.0,202838.33333333334,,,,,,,,,15.0,10.0,18.0,160.0,False,0.95,0.8,0.24549999999999997,222107.0,0.0,3,validated
12,December,s27_15_7,rl3_dqn,27,15,7,49,41687.0,10401.333333333334,31285.666666666668,0.24946666666666664,0.9496844115092342,0.9994569226045065,0.9330778315273687,162.30680541836617,493.8881839904356,5.666666666666667,2104.6666666666665,39576.666666666664,2110.3333333333335,5.666666666666667,2104.6666666666665,0.050333333333333334,21131.666666666668,141120.0,162251.66666666666,0.4395609594377958,0.26478036017357454,0.6011454230351672,1.0,48445.0,33298.666666666664,6705.0,8441.333333333334,15.0,10.0,18.0,160.0,True,0.95,0.8,0.0,171637.0,1.0,3,validated
12,December,s27_15_7,urgent_first,27,15,7,49,41687.0,10401.333333333334,31285.666666666668,0.24946666666666664,0.9453134274707725,0.9995015933376067,0.9272299629702797,143.66479005059895,556.4019115822222,5.333333333333333,2290.6666666666665,39578.333333333336,2108.6666666666665,1.0,2107.6666666666665,0.05029999999999999,22986.666666666668,141120.0,164106.66666666666,,,,,,,,,15.0,10.0,18.0,160.0,True,0.95,0.8,0.0,174805.0,1.0,3,validated
12,December,s22_11_5,fifo,22,11,5,38,42772.0,10775.0,31997.0,0.2519,0.7124988310109417,0.38450116009280744,0.8229521517642279,372.77565326895837,1042.4203584133334,6632.0,5665.0,35213.0,7559.0,1894.0,5665.0,0.1767,156130.0,109440.0,265570.0,,,,,,,,,15.0,10.0,18.0,160.0,False,0.95,0.8,0.5655,,0.0,1,screening
12,December,s22_11_5,rl3_dqn,22,11,5,38,42772.0,10775.0,31997.0,0.2519,0.7885532591414944,0.9979582366589327,0.7180360658811764,323.9906554506089,918.8474551971466,22.0,9022.0,34723.0,8049.0,22.0,8027.0,0.1882,90550.0,109440.0,199990.0,0.539652273397008,0.33466083436704314,0.6724905117131266,0.9006200628556867,57689.0,30634.0,15282.0,11773.0,15.0,10.0,18.0,160.0,False,0.95,0.8,0.082,,0.0,1,screening
12,December,s22_11_5,urgent_first,22,11,5,38,42772.0,10775.0,31997.0,0.2519,0.7930421771252221,0.9831090487238979,0.7290370972278651,223.14281613256085,788.8391577,182.0,8670.0,34736.0,8036.0,1.0,8035.0,0.1879,89430.0,109440.0,198870.0,,,,,,,,,15.0,10.0,18.0,160.0,False,0.95,0.8,0.071,,0.0,1,screening
12,December,s26_13_7,fifo,26,13,7,46,42772.0,10775.0,31997.0,0.2519,0.8248152997287945,0.5890487238979119,0.9042097696659062,216.43119238261323,624.5384946100003,4428.0,3065.0,38699.0,4073.0,1008.0,3065.0,0.0952,97070.0,132480.0,229550.0,,,,,,,,,15.0,10.0,18.0,160.0,False,0.95,0.8,0.361,,0.0,1,screening
12,December,s26_13_7,rl3_dqn,26,13,7,46,42772.0,10775.0,31997.0,0.2519,0.8994201814271019,0.9984222737819025,0.8660811951120417,214.7430867137552,804.8454838709333,17.0,4285.0,38470.0,4302.0,17.0,4285.0,0.1006,43105.0,132480.0,175585.0,0.3496145993257467,0.2831760630673674,0.36244259744202817,0.9138755980861244,63181.0,33488.0,26349.0,3344.0,15.0,10.0,18.0,160.0,True,0.95,0.8,0.0,,1.0,1,screening
12,December,s26_13_7,urgent_first,26,13,7,46,42772.0,10775.0,31997.0,0.2519,0.8911671186757691,0.9977726218097448,0.8552676813451261,153.13449233084293,524.9189964,24.0,4631.0,38461.0,4311.0,1.0,4310.0,0.1008,46670.0,132480.0,179150.0,,,,,,,,,15.0,10.0,18.0,160.0,True,0.95,0.8,0.0,,1.0,1,screening
12,December,s26_14_6,fifo,26,14,6,46,42772.0,10775.0,31997.0,0.2519,0.8021836715608341,0.5502552204176334,0.8870206581867051,245.42713454548212,727.5833154000002,4846.0,3615.0,37964.0,4808.0,1193.0,3615.0,0.1124,108840.0,132480.0,241320.0,,,,,,,,,15.0,10.0,18.0,160.0,False,0.95,0.8,0.3997,,0.0,1,screening
12,December,s26_14_6,rl3_dqn,26,14,6,46,42772.0,10775.0,31997.0,0.2519,0.8804825586832508,0.9995359628770302,0.8403912866831266,238.06641795008034,795.1208602150266,5.0,5107.0,37660.0,5112.0,5.0,5107.0,0.1195,51145.0,132480.0,183625.0,0.5601080137250523,0.3392431200825946,0.7168899826816152,1.0,49253.0,28089.0,10971.0,10193.0,15.0,10.0,18.0,160.0,True,0.95,0.8,0.0,,1.0,1,screening
12,December,s26_14_6,urgent_first,26,14,6,46,42772.0,10775.0,31997.0,0.2519,0.8722762554942486,0.9952668213457077,0.8308591430446605,171.47833191981692,579.5571684566678,51.0,5412.0,37674.0,5098.0,1.0,5097.0,0.1192,54885.0,132480.0,187365.0,,,,,,,,,15.0,10.0,18.0,160.0,True,0.95,0.8,0.0,,1.0,1,screening
12,December,s27_13_6,fifo,27,13,6,46,42772.0,10775.0,31997.0,0.2519,0.8022070513419994,0.5502552204176334,0.8870519111166671,245.40045705503172,727.5666666583334,4846.0,3614.0,37966.0,4806.0,1192.0,3614.0,0.1124,108830.0,132480.0,241310.0,,,,,,,,,15.0,10.0,18.0,160.0,False,0.95,0.8,0.3997,,0.0,1,screening
12,December,s27_13_6,rl3_dqn,27,13,6,46,42772.0,10775.0,31997.0,0.2519,0.8805059384644159,0.9987935034802784,0.8406725630527861,238.20128129467443,794.4903225806667,13.0,5098.0,37661.0,5111.0,13.0,5098.0,0.1195,51175.0,132480.0,183655.0,0.47262271180949295,0.30363860422882344,0.47234876316433994,0.9704170245252409,61730.0,30836.0,20415.0,10479.0,15.0,10.0,18.0,160.0,True,0.95,0.8,0.0,,1.0,1,screening
12,December,s27_13_6,urgent_first,27,13,6,46,42772.0,10775.0,31997.0,0.2519,0.8720892172449266,0.9954524361948955,0.8305466137450386,177.55387520426663,586.4412186249999,49.0,5422.0,37676.0,5096.0,1.0,5095.0,0.1191,54955.0,132480.0,187435.0,,,,,,,,,15.0,10.0,18.0,160.0,True,0.95,0.8,0.0,,1.0,1,screening
12,December,s27_13_7,fifo,27,13,7,47,42772.0,10775.0,31997.0,0.2519,0.8249789581969513,0.5896055684454756,0.9042410225958684,216.18690920508956,624.298225795,4422.0,3064.0,38700.0,4072.0,1008.0,3064.0,0.0952,96970.0,135360.0,232330.0,,,,,,,,,15.0,10.0,18.0,160.0,False,0.95,0.8,0.3604,,0.0,1,screening
12,December,s27_13_7,rl3_dqn,27,13,7,47,42772.0,10775.0,31997.0,0.2519,0.8994201814271019,0.9985150812064966,0.8660499421820795,214.50597040658295,804.5376702508732,16.0,4286.0,38470.0,4302.0,16.0,4286.0,0.1006,43100.0,135360.0,178460.0,0.3427485908255738,0.2904704011970448,0.33464402533231263,0.9036710719530103,64222.0,32079.0,28738.0,3405.0,15.0,10.0,18.0,160.0,True,0.95,0.8,0.0,,1.0,1,screening
12,December,s27_13_7,urgent_first,27,13,7,47,42772.0,10775.0,31997.0,0.2519,0.8914009164874217,0.9983294663573086,0.8553926930649749,158.41787248242332,538.1616128966668,18.0,4627.0,38497.0,4275.0,1.0,4274.0,0.0999,46540.0,135360.0,181900.0,,,,,,,,,15.0,10.0,18.0,160.0,True,0.95,0.8,0.0,,1.0,1,screening
12,December,s27_14_6,fifo,27,14,6,47,42772.0,10775.0,31997.0,0.2519,0.8022070513419994,0.5502552204176334,0.8870519111166671,245.31269958782414,727.4100358333333,4846.0,3614.0,37966.0,4806.0,1192.0,3614.0,0.1124,108830.0,135360.0,244190.0,,,,,,,,,15.0,10.0,18.0,160.0,False,0.95,0.8,0.3997,,0.0,1,screening
12,December,s27_14_6,rl3_dqn,27,14,6,47,42772.0,10775.0,31997.0,0.2519,0.8805059384644159,0.9992575406032482,0.8405162984029753,238.06146753070445,794.6994623656334,8.0,5103.0,37661.0,5111.0,8.0,5103.0,0.1195,51150.0,135360.0,186510.0,0.5525033143570147,0.3335945570476971,0.6772225225921062,0.9935747663551402,51292.0,28073.0,12947.0,10272.0,15.0,10.0,18.0,160.0,True,0.95,0.8,0.0,,1.0,1,screening
12,December,s27_14_6,urgent_first,27,14,6,47,42772.0,10775.0,31997.0,0.2519,0.8720424576825961,0.9954524361948955,0.8304841078851142,175.6336976150762,587.2357526816668,49.0,5424.0,37662.0,5110.0,1.0,5109.0,0.1195,54975.0,135360.0,190335.0,,,,,,,,,15.0,10.0,18.0,160.0,True,0.95,0.8,0.0,,1.0,1,screening
12,December,s27_14_8,fifo,27,14,8,49,42772.0,10775.0,31997.0,0.2519,0.8480548022070513,0.6265429234338747,0.9226489983435947,185.57962683688805,533.3766308166668,4024.0,2475.0,39497.0,3275.0,800.0,2475.0,0.0766,85110.0,141120.0,226230.0,,,,,,,,,15.0,10.0,18.0,160.0,False,0.95,0.8,0.3235,,0.0,1,screening
12,December,s27_14_8,rl3_dqn,27,14,8,49,42772.0,10775.0,31997.0,0.2519,0.9188955391377537,0.9988863109048723,0.8919586211207301,187.8595458526115,675.38211469538,12.0,3457.0,39303.0,3469.0,12.0,3457.0,0.0811,34750.0,141120.0,175870.0,0.35605688202247193,0.27571441315531237,0.4246601031411158,0.9750124937531235,56960.0,33629.0,21330.0,2001.0,15.0,10.0,18.0,160.0,True,0.95,0.8,0.0,,1.0,1,screening
12,December,s27_14_8,urgent_first,27,14,8,49,42772.0,10775.0,31997.0,0.2519,0.9098008042644721,0.9995359628770302,0.8795824608557052,142.49068374415188,486.0134408483334,5.0,3853.0,39312.0,3460.0,1.0,3459.0,0.0809,38605.0,141120.0,179725.0,,,,,,,,,15.0,10.0,18.0,160.0,True,0.95,0.8,0.0,,1.0,1,screening
12,December,s27_15_8,fifo,27,15,8,50,42772.0,10775.0,31997.0,0.2519,0.8501122229495932,0.6282134570765662,0.9248367034409476,181.95689855628137,523.606720428334,4006.0,2405.0,39604.0,3168.0,763.0,2405.0,0.0741,84140.0,144000.0,228140.0,,,,,,,,,15.0,10.0,18.0,160.0,False,0.95,0.8,0.3218,,0.0,1,screening
12,December,s27_15_8,rl3_dqn,27,15,8,50,42772.0,10775.0,31997.0,0.2519,0.9238052931824559,0.9992575406032482,0.89839672469294,180.76728026627484,629.8334050179568,8.0,3251.0,39513.0,3259.0,8.0,3251.0,0.0762,32630.0,144000.0,176630.0,0.38407703039590146,0.272997556739572,0.6763768115942029,1.0,43723.0,33971.0,6900.0,2852.0,15.0,10.0,18.0,160.0,True,0.95,0.8,0.0,,1.0,1,screening
12,December,s27_15_8,urgent_first,27,15,8,50,42772.0,10775.0,31997.0,0.2519,0.9156691293369494,0.9999071925754061,0.8873019345563646,136.89957165178976,476.816326155,1.0,3606.0,39540.0,3232.0,1.0,3231.0,0.0756,36075.0,144000.0,180075.0,,,,,,,,,15.0,10.0,18.0,160.0,True,0.95,0.8,0.0,,1.0,1,screening
12,December,s28_14_7,fifo,28,14,7,49,42772.0,10775.0,31997.0,0.2519,0.8479379033012251,0.6262645011600928,0.9225864924836703,185.82568455643727,534.492043005,4027.0,2477.0,39494.0,3278.0,801.0,2477.0,0.0766,85175.0,141120.0,226295.0,,,,,,,,,15.0,10.0,18.0,160.0,False,0.95,0.8,0.3237,,0.0,1,screening
12,December,s28_14_7,rl3_dqn,28,14,7,49,42772.0,10775.0,31997.0,0.2519,0.9187318806695969,0.9986078886310905,0.8918336094008813,188.2644506486207,675.3527777777917,15.0,3461.0,39296.0,3476.0,15.0,3461.0,0.0813,34835.0,141120.0,175955.0,0.3767795667403298,0.276172896477465,0.3552060324472542,0.8714543579164518,66519.0,32505.0,26258.0,7756.0,15.0,10.0,18.0,160.0,True,0.95,0.8,0.0,,1.0,1,screening
12,December,s28_14_7,urgent_first,28,14,7,49,42772.0,10775.0,31997.0,0.2519,0.9084213971757225,0.9995359628770302,0.8777385379879363,148.7650352373944,511.2652150450001,5.0,3912.0,39292.0,3480.0,1.0,3479.0,0.0814,39195.0,141120.0,180315.0,,,,,,,,,15.0,10.0,18.0,160.0,True,0.95,0.8,0.0,,1.0,1,screening
12,December,s28_14_8,fifo,28,14,8,50,42772.0,10775.0,31997.0,0.2519,0.8481483213317124,0.6269141531322506,0.9226489983435947,185.04893167860598,533.1595698866669,4020.0,2475.0,39497.0,3275.0,800.0,2475.0,0.0766,85050.0,144000.0,229050.0,,,,,,,,,15.0,10.0,18.0,160.0,False,0.95,0.8,0.3231,,0.0,1,screening
12,December,s28_14_8,rl3_dqn,28,14,8,50,42772.0,10775.0,31997.0,0.2519,0.9189890582624146,0.9985150812064966,0.8922086445604276,187.55815070012767,673.2913978494801,16.0,3449.0,39307.0,3465.0,16.0,3449.0,0.081,34730.0,144000.0,178730.0,0.3301829518418246,0.27490321391261596,0.35255047821466523,0.9200390053632375,60945.0,32546.0,26348.0,2051.0,15.0,10.0,18.0,160.0,True,0.95,0.8,0.0,,1.0,1,screening
