month,month_name,regime,policy,picking_workers,packing_workers,dispatch_workers,total_workers,total_orders,urgent_orders,normal_orders,urgent_share,total_sla,urgent_sla,normal_sla,mean_system_time_min,p90_system_time_min,urgent_late_orders,normal_late_orders,completed_orders,unfinished_orders,unfinished_urgent_orders,unfinished_normal_orders,backlog_share,estimated_late_cost,estimated_worker_cost,estimated_total_cost,savings_total_cost_vs_fifo_same_month_regime,savings_total_cost_vs_urgent_first_same_month_regime,p_urgent_overall,p_urgent_pick,p_urgent_pack,p_urgent_dispatch,decisions_total,decisions_pick,decisions_pack,decisions_dispatch,cost_late_urgent,cost_late_normal,worker_cost_per_hour,hours_per_worker_month,feasible,urgent_sla_target,normal_sla_target,sla_violation,scenario_seed,picking_utilisation,picking_avg_wait_min,picking_p95_wait_min,picking_avg_queue_len,picking_max_queue_len,picking_late_wait_share,picking_pressure_score,packing_utilisation,packing_avg_wait_min,packing_p95_wait_min,packing_avg_queue_len,packing_max_queue_len,packing_late_wait_share,packing_pressure_score,dispatch_utilisation,dispatch_avg_wait_min,dispatch_p95_wait_min,dispatch_avg_queue_len,dispatch_max_queue_len,dispatch_late_wait_share,dispatch_pressure_score
1,January,s16_9_5,urgent_first,16,9,5,30,31200,6250,24950,0.2003,0.9481410256410256,0.99984,0.935190380761523,146.79850906156838,546.9756272333334,1.0,1617.0,29716,1484,1,1483,0.0476,8105.0,72000.0,80105.0,35150.0,0.0,,,,,,,,,20.0,5.0,15.0,160.0,True,0.95,0.8,0.0,124,0.8129,127.28,815.64,414.606,1779,0.9427,0.9137,0.8248,10.87,25.11,33.989,155,0.0571,0.3613,0.7941,0.53,1.55,1.645,17,0.0002,0.3188
1,January,s16_9_5,rl3_dqn,16,9,5,30,31200,6250,24950,0.2003,0.00233974358974359,0.00944,0.0005611222444889779,3188.4848932545397,5382.324372759894,6191.0,24936.0,2087,29113,4177,24936,0.9331,248500.0,72000.0,320500.0,-205245.0,-240395.0,0.9966346153846154,0.9966346153846154,0.0,0.0,2080.0,2080.0,0.0,0.0,20.0,5.0,15.0,160.0,False,0.95,0.8,1.74,124,0.0622,3179.12,5741.22,14041.444,29112,0.9999,0.6248,0.068,0.42,2.31,0.091,3,0.0001,0.0273,0.0668,0.02,0.12,0.004,1,0.0,0.0267
1,January,s16_11_5,fifo,16,11,5,32,31200,6250,24950,0.2003,0.9049679487179487,0.70688,0.9545891783567134,136.43539941887784,330.88218637666665,1832.0,1133.0,29788,1412,279,1133,0.0453,42305.0,76800.0,119105.0,0.0,-34370.0,,,,,,,,,20.0,5.0,15.0,160.0,False,0.95,0.8,0.2431,124,0.8128,127.14,359.37,408.926,1747,0.995,0.9241,0.6751,0.09,0.58,0.287,8,0.0003,0.2706,0.794,1.35,4.05,4.192,36,0.0047,0.3229
1,January,s16_11_5,urgent_first,16,11,5,32,31200,6250,24950,0.2003,0.9492307692307692,0.99984,0.9365531062124248,137.50130910082777,527.4807168416665,1.0,1583.0,29738,1462,1,1461,0.0469,7935.0,76800.0,84735.0,34370.0,0.0,,,,,,,,,20.0,5.0,15.0,160.0,True,0.95,0.8,0.0,124,0.8129,127.28,815.64,414.606,1779,0.9994,0.925,0.676,0.1,0.62,0.323,10,0.0001,0.2707,0.7946,2.09,6.3,6.688,69,0.0005,0.3223
1,January,s16_11_5,rl3_dqn,16,11,5,32,31200,6250,24950,0.2003,0.00233974358974359,0.00944,0.0005611222444889779,3188.4848932545397,5382.324372759894,6191.0,24936.0,2087,29113,4177,24936,0.9331,248500.0,76800.0,325300.0,-206195.0,-240565.0,0.9966346153846154,0.9966346153846154,0.0,0.0,2080.0,2080.0,0.0,0.0,20.0,5.0,15.0,160.0,False,0.95,0.8,1.74,124,0.0622,3179.12,5741.22,14041.444,29112,0.9999,0.6248,0.0556,0.42,2.31,0.091,3,0.0001,0.0224,0.0668,0.02,0.12,0.004,1,0.0,0.0267
1,January,s16_10_4,fifo,16,10,4,30,31200,6250,24950,0.2003,0.7973076923076923,0.31456,0.9182364729458918,371.3756349064486,733.1082437216668,4284.0,2040.0,28652,2548,508,2040,0.0817,95880.0,72000.0,167880.0,0.0,-74125.0,,,,,,,,,20.0,5.0,15.0,160.0,False,0.95,0.8,0.6354,124,0.8128,127.14,359.37,408.926,1747,0.3809,0.639,0.7426,0.29,1.13,0.908,13,0.0008,0.2979,0.9543,233.1,590.68,716.856,2089,0.6183,0.9054
1,January,s16_10_4,urgent_first,16,10,4,30,31200,6250,24950,0.2003,0.8606410256410256,0.99984,0.8257715430861724,303.7105432782306,912.3962365499999,1.0,4347.0,28511,2689,1,2688,0.0862,21755.0,72000.0,93755.0,74125.0,0.0,,,,,,,,,20.0,5.0,15.0,160.0,True,0.95,0.8,0.0,124,0.8129,127.28,815.64,414.606,1779,0.1773,0.6028,0.7436,0.34,1.3,1.047,18,0.0004,0.298,0.9543,166.27,1263.4,770.145,2198,0.8222,0.9461
1,January,s16_10_4,rl3_dqn,16,10,4,30,31200,6250,24950,0.2003,0.00233974358974359,0.00944,0.0005611222444889779,3188.4848932545397,5382.324372759894,6191.0,24936.0,2087,29113,4177,24936,0.9331,248500.0,72000.0,320500.0,-152620.0,-226745.0,0.9966346153846154,0.9966346153846154,0.0,0.0,2080.0,2080.0,0.0,0.0,20.0,5.0,15.0,160.0,False,0.95,0.8,1.74,124,0.0622,3179.12,5741.22,14041.444,29112,0.9999,0.6248,0.0612,0.42,2.31,0.091,3,0.0001,0.0246,0.0836,0.02,0.12,0.004,1,0.0,0.0334
1,January,s16_10_6,fifo,16,10,6,32,31200,6250,24950,0.2003,0.9055128205128206,0.70944,0.9546292585170341,135.3849372042359,328.9602867266667,1816.0,1132.0,29789,1411,279,1132,0.0452,41980.0,76800.0,118780.0,0.0,-34215.0,,,,,,,,,20.0,5.0,15.0,160.0,False,0.95,0.8,0.2406,124,0.8128,127.14,359.37,408.926,1747,0.9987,0.9249,0.7426,0.29,1.13,0.908,13,0.001,0.2984,0.6617,0.1,0.52,0.309,6,0.0003,0.2652
1,January,s16_10_6,urgent_first,16,10,6,32,31200,6250,24950,0.2003,0.9503205128205128,0.99984,0.9379158316633267,135.64618383062376,525.9413978333333,1.0,1549.0,29771,1429,1,1428,0.0458,7765.0,76800.0,84565.0,34215.0,0.0,,,,,,,,,20.0,5.0,15.0,160.0,True,0.95,0.8,0.0,124,0.8129,127.28,815.64,414.606,1779,0.9998,0.9251,0.7436,0.34,1.3,1.047,18,0.0002,0.2983,0.6629,0.11,0.55,0.332,8,0.0001,0.2655
1,January,s16_10_6,rl3_dqn,16,10,6,32,31200,6250,24950,0.2003,0.00233974358974359,0.00944,0.0005611222444889779,3188.4848932545397,5382.324372759894,6191.0,24936.0,2087,29113,4177,24936,0.9331,248500.0,76800.0,325300.0,-206520.0,-240735.0,0.9966346153846154,0.9966346153846154,0.0,0.0,2080.0,2080.0,0.0,0.0,20.0,5.0,15.0,160.0,False,0.95,0.8,1.74,124,0.0622,3179.12,5741.22,14041.444,29112,0.9999,0.6248,0.0612,0.42,2.31,0.091,3,0.0001,0.0246,0.0557,0.02,0.12,0.004,1,0.0,0.0223
