month,month_name,regime,policy,total_workers,total_orders,urgent_orders,normal_orders,urgent_share,total_sla,urgent_sla,normal_sla,mean_system_time_min,p90_system_time_min,urgent_late_orders,normal_late_orders,estimated_late_cost,estimated_worker_cost,estimated_total_cost,cost_late_urgent,cost_late_normal,worker_cost_per_hour,hours_per_worker_month
1,January,s32112,fifo,9,16812,2040,14772,0.1213,0.1211039733523673,0.0137254901960784,0.1359328459247224,3505.752449639147,5705.045,2012.0,12764.0,104060.0,21600.0,125660.0,20.0,5.0,15.0,160.0
1,January,s32112,urgent_first,9,16812,2040,14772,0.1213,0.2131215798239353,1.0,0.1044543731383698,3463.7782853517333,6156.405,0.0,13229.0,66145.0,21600.0,87745.0,20.0,5.0,15.0,160.0
1,January,s32112,rl5_dqn,9,16812,2040,14772,0.1213,0.2161551272900309,1.0,0.1079068507988085,3406.880622967721,6048.751666666666,0.0,13178.0,65890.0,21600.0,87490.0,20.0,5.0,15.0,160.0
1,January,s32212,fifo,10,16812,2040,14772,0.1213,0.9134546752319772,0.2867647058823529,1.0,394.67277638988026,694.3100000000001,1455.0,0.0,29100.0,24000.0,53100.0,20.0,5.0,15.0,160.0
1,January,s32212,urgent_first,10,16812,2040,14772,0.1213,1.0,1.0,1.0,383.90768994369097,685.0,0.0,0.0,0.0,24000.0,24000.0,20.0,5.0,15.0,160.0
1,January,s32212,rl5_dqn,10,16812,2040,14772,0.1213,0.9939923863906732,0.9504901960784312,1.0,386.25574886985487,691.365,101.0,0.0,2020.0,24000.0,26020.0,20.0,5.0,15.0,160.0
1,January,s33211,fifo,10,16812,2040,14772,0.1213,0.9132762312633832,0.2852941176470588,1.0,394.50073459433736,693.3833333333333,1458.0,0.0,29160.0,24000.0,53160.0,20.0,5.0,15.0,160.0
1,January,s33211,urgent_first,10,16812,2040,14772,0.1213,1.0,1.0,1.0,401.45403283369023,714.3466666666666,0.0,0.0,0.0,24000.0,24000.0,20.0,5.0,15.0,160.0
1,January,s33211,rl5_dqn,10,16812,2040,14772,0.1213,0.9887580299785867,0.9073529411764706,1.0,390.8751011182489,696.73,189.0,0.0,3780.0,24000.0,27780.0,20.0,5.0,15.0,160.0
1,January,s42211,fifo,10,16812,2040,14772,0.1213,0.9261241970021412,0.3911764705882353,1.0,278.7081330795463,481.4116666666667,1242.0,0.0,24840.0,24000.0,48840.0,20.0,5.0,15.0,160.0
1,January,s42211,urgent_first,10,16812,2040,14772,0.1213,1.0,1.0,1.0,278.3694266000476,509.495,0.0,0.0,0.0,24000.0,24000.0,20.0,5.0,15.0,160.0
1,January,s42211,rl5_dqn,10,16812,2040,14772,0.1213,0.9919105400904116,0.9333333333333332,1.0,279.68445356491395,501.6983333333333,136.0,0.0,2720.0,24000.0,26720.0,20.0,5.0,15.0,160.0
1,January,s23211,fifo,9,16812,2040,14772,0.1213,0.3071020699500357,0.0372549019607843,0.3443677227186569,1857.9860813704497,3062.741666666667,1964.0,9685.0,87705.0,21600.0,109305.0,20.0,5.0,15.0,160.0
1,January,s23211,urgent_first,9,16812,2040,14772,0.1213,0.3628955507970497,1.0,0.274911995667479,1870.8215064636368,3242.41,0.0,10711.0,53555.0,21600.0,75155.0,20.0,5.0,15.0,160.0
1,January,s23211,rl5_dqn,9,16812,2040,14772,0.1213,0.3703307161551273,1.0,0.2833739507175737,1847.641227496233,3207.9366666666665,0.0,10586.0,52930.0,21600.0,74530.0,20.0,5.0,15.0,160.0
1,January,s22121,fifo,8,16812,2040,14772,0.1213,0.1208660480609088,0.0137254901960784,0.1356620633631194,3477.3850344991674,5684.075,2012.0,12768.0,104080.0,19200.0,123280.0,20.0,5.0,15.0,160.0
1,January,s22121,urgent_first,8,16812,2040,14772,0.1213,0.2131810611467999,1.0,0.1045220687787706,3445.150434213657,6106.013333333333,0.0,13228.0,66140.0,19200.0,85340.0,20.0,5.0,15.0,160.0
1,January,s22121,rl5_dqn,8,16812,2040,14772,0.1213,0.2125862479181537,1.0,0.103845112374763,3476.60483781426,6170.709999999999,0.0,13238.0,66190.0,19200.0,85390.0,20.0,5.0,15.0,160.0
1,January,s22112,fifo,8,16812,2040,14772,0.1213,0.1229478943611706,0.0137254901960784,0.1380314107771459,3503.098637877706,5730.879999999999,2012.0,12733.0,103905.0,19200.0,123105.0,20.0,5.0,15.0,160.0
1,January,s22112,urgent_first,8,16812,2040,14772,0.1213,0.2108018082322151,1.0,0.1018142431627403,3482.7226980728046,6158.1883333333335,0.0,13268.0,66340.0,19200.0,85540.0,20.0,5.0,15.0,160.0
1,January,s22112,rl5_dqn,8,16812,2040,14772,0.1213,0.2112181774922674,1.0,0.1022881126455456,3488.6599175192323,6161.415,0.0,13261.0,66305.0,19200.0,85505.0,20.0,5.0,15.0,160.0
2,February,s11111,fifo,5,15411,1882,13529,0.1221,0.0184932840179092,0.0058448459086078,0.0202527903023135,21672.303669456884,37656.05,1871.0,13255.0,103695.0,12000.0,115695.0,20.0,5.0,15.0,160.0
2,February,s11111,urgent_first,5,15411,1882,13529,0.1221,0.1332165336447991,1.0,0.0126395151156774,21886.985736378778,38266.93333333333,0.0,13358.0,66790.0,12000.0,78790.0,20.0,5.0,15.0,160.0
2,February,s11111,rl5_dqn,5,15411,1882,13529,0.1221,0.0548309648952047,0.3517534537725824,0.013526498632567,21685.17858564229,34946.566666666666,1220.0,13346.0,91130.0,12000.0,103130.0,20.0,5.0,15.0,160.0
2,February,s21111,fifo,6,15411,1882,13529,0.1221,0.0547011874635001,0.0106269925611052,0.0608322862000147,4147.250547228171,6267.166666666667,1862.0,12706.0,100770.0,14400.0,115170.0,20.0,5.0,15.0,160.0
2,February,s21111,urgent_first,6,15411,1882,13529,0.1221,0.1500875997664006,1.0,0.031857491314953,4122.434277464149,6587.216666666666,0.0,13098.0,65490.0,14400.0,79890.0,20.0,5.0,15.0,160.0
2,February,s21111,rl5_dqn,6,15411,1882,13529,0.1221,0.1511258192200376,1.0,0.0330401360041392,4117.462957195077,6592.95,0.0,13082.0,65410.0,14400.0,79810.0,20.0,5.0,15.0,160.0
2,February,s31111,fifo,7,15411,1882,13529,0.1221,0.0554149633378755,0.0106269925611052,0.0616453544238302,4117.671404624402,6249.6,1862.0,12695.0,100715.0,16800.0,117515.0,20.0,5.0,15.0,160.0
2,February,s31111,urgent_first,7,15411,1882,13529,0.1221,0.1492440464603205,1.0,0.0308965925049892,4154.462692232821,6611.633333333333,0.0,13111.0,65555.0,16800.0,82355.0,20.0,5.0,15.0,160.0
2,February,s31111,rl5_dqn,7,15411,1882,13529,0.1221,0.151839595094413,1.0,0.0338532042279547,4040.244883524756,6455.55,0.0,13071.0,65355.0,16800.0,82155.0,20.0,5.0,15.0,160.0
2,February,s32111,fifo,8,15411,1882,13529,0.1221,0.0559989617805463,0.0106269925611052,0.0623105920614975,4074.269279518959,6125.766666666666,1862.0,12686.0,100670.0,19200.0,119870.0,20.0,5.0,15.0,160.0
2,February,s32111,urgent_first,8,15411,1882,13529,0.1221,0.1500227110505483,1.0,0.0317835760218789,4137.619506629463,6593.666666666667,0.0,13099.0,65495.0,19200.0,84695.0,20.0,5.0,15.0,160.0
2,February,s32111,rl5_dqn,8,15411,1882,13529,0.1221,0.1511907079358899,1.0,0.0331140512972133,4070.0933791880257,6516.9,0.0,13081.0,65405.0,19200.0,84605.0,20.0,5.0,15.0,160.0
2,February,s32211,fifo,9,15411,1882,13529,0.1221,0.9122704561676724,0.281615302869288,1.0,399.8561265762551,716.1,1352.0,0.0,27040.0,21600.0,48640.0,20.0,5.0,15.0,160.0
2,February,s32211,urgent_first,9,15411,1882,13529,0.1221,1.0,1.0,1.0,398.93170787100127,732.6,0.0,0.0,0.0,21600.0,21600.0,20.0,5.0,15.0,160.0
2,February,s32211,rl5_dqn,9,15411,1882,13529,0.1221,1.0,1.0,1.0,397.47782319987886,732.6666666666666,0.0,0.0,0.0,21600.0,21600.0,20.0,5.0,15.0,160.0
2,February,s32221,fifo,10,15411,1882,13529,0.1221,0.912400233599377,0.2826780021253985,1.0,400.4370319901369,716.6,1350.0,0.0,27000.0,24000.0,51000.0,20.0,5.0,15.0,160.0
2,February,s32221,urgent_first,10,15411,1882,13529,0.1221,1.0,1.0,1.0,397.8116172430948,726.7833333333333,0.0,0.0,0.0,24000.0,24000.0,20.0,5.0,15.0,160.0
2,February,s32221,rl5_dqn,10,15411,1882,13529,0.1221,0.9949386801635196,0.9585547290116896,1.0,405.2285012869596,740.6,78.0,0.0,1560.0,24000.0,25560.0,20.0,5.0,15.0,160.0
2,February,s33322,fifo,13,15411,1882,13529,0.1221,0.9133086756213096,0.2901168969181721,1.0,396.3414671338654,710.0333333333333,1336.0,0.0,26720.0,31200.0,57920.0,20.0,5.0,15.0,160.0
2,February,s33322,urgent_first,13,15411,1882,13529,0.1221,1.0,1.0,1.0,390.3724017476694,728.35,0.0,0.0,0.0,31200.0,31200.0,20.0,5.0,15.0,160.0
2,February,s33322,rl5_dqn,13,15411,1882,13529,0.1221,1.0,1.0,1.0,396.45203317976336,724.9833333333333,0.0,0.0,0.0,31200.0,31200.0,20.0,5.0,15.0,160.0
2,February,s32121,fifo,9,15411,1882,13529,0.1221,0.0554149633378755,0.0106269925611052,0.0616453544238302,4093.7472541258408,6178.983333333334,1862.0,12695.0,100715.0,21600.0,122315.0,20.0,5.0,15.0,160.0
2,February,s32121,urgent_first,9,15411,1882,13529,0.1221,0.1519044838102654,1.0,0.0339271195210289,4043.9734994484456,6470.133333333333,0.0,13070.0,65350.0,21600.0,86950.0,20.0,5.0,15.0,160.0
2,February,s32121,rl5_dqn,9,15411,1882,13529,0.1221,0.1519044838102654,1.0,0.0339271195210289,4076.998873099301,6529.666666666667,0.0,13070.0,65350.0,21600.0,86950.0,20.0,5.0,15.0,160.0
2,February,s32112,fifo,9,15411,1882,13529,0.1221,0.0566478489390694,0.0111583421891604,0.0629758296991647,4044.667701641684,6090.083333333333,1861.0,12677.0,100605.0,21600.0,122205.0,20.0,5.0,15.0,160.0
2,February,s32112,urgent_first,9,15411,1882,13529,0.1221,0.1502822659139575,1.0,0.0320792371941754,4080.49034564056,6518.633333333333,0.0,13095.0,65475.0,21600.0,87075.0,20.0,5.0,15.0,160.0
2,February,s32112,rl5_dqn,9,15411,1882,13529,0.1221,0.1496982674712867,1.0,0.0314139995565082,4081.706247701858,6493.65,0.0,13104.0,65520.0,21600.0,87120.0,20.0,5.0,15.0,160.0
2,February,s32212,fifo,10,15411,1882,13529,0.1221,0.9128544546103432,0.2863974495217853,1.0,397.6661562087686,711.4833333333333,1343.0,0.0,26860.0,24000.0,50860.0,20.0,5.0,15.0,160.0
2,February,s32212,urgent_first,10,15411,1882,13529,0.1221,1.0,1.0,1.0,394.2016589881686,720.7,0.0,0.0,0.0,24000.0,24000.0,20.0,5.0,15.0,160.0
2,February,s32212,rl5_dqn,10,15411,1882,13529,0.1221,1.0,1.0,1.0,398.4182748253412,734.1,0.0,0.0,0.0,24000.0,24000.0,20.0,5.0,15.0,160.0
2,February,s33211,fifo,10,15411,1882,13529,0.1221,0.9135033417688664,0.2917109458023379,1.0,393.087891765622,707.8333333333334,1333.0,0.0,26660.0,24000.0,50660.0,20.0,5.0,15.0,160.0
2,February,s33211,urgent_first,10,15411,1882,13529,0.1221,1.0,1.0,1.0,397.4354606017348,710.2,0.0,0.0,0.0,24000.0,24000.0,20.0,5.0,15.0,160.0
2,February,s33211,rl5_dqn,10,15411,1882,13529,0.1221,0.9949386801635196,0.9585547290116896,1.0,397.6033363614734,741.6666666666666,78.0,0.0,1560.0,24000.0,25560.0,20.0,5.0,15.0,160.0
2,February,s42211,fifo,10,15411,1882,13529,0.1221,0.9263513075076244,0.3969181721572795,1.0,279.7303257413536,489.6833333333333,1135.0,0.0,22700.0,24000.0,46700.0,20.0,5.0,15.0,160.0
2,February,s42211,urgent_first,10,15411,1882,13529,0.1221,1.0,1.0,1.0,279.2453345013302,519.9166666666666,0.0,0.0,0.0,24000.0,24000.0,20.0,5.0,15.0,160.0
2,February,s42211,rl5_dqn,10,15411,1882,13529,0.1221,0.989423139316073,0.9133900106269924,1.0,279.4451787684122,510.6333333333333,163.0,0.0,3260.0,24000.0,27260.0,20.0,5.0,15.0,160.0
2,February,s23211,fifo,9,15411,1882,13529,0.1221,0.2563753163324898,0.0419766206163655,0.2862000147830586,1965.3074686911943,3086.833333333333,1803.0,9657.0,84345.0,21600.0,105945.0,20.0,5.0,15.0,160.0
2,February,s23211,urgent_first,9,15411,1882,13529,0.1221,0.3112062812276945,1.0,0.2153891640180353,1950.128831137932,3235.233333333333,0.0,10615.0,53075.0,21600.0,74675.0,20.0,5.0,15.0,160.0
2,February,s23211,rl5_dqn,9,15411,1882,13529,0.1221,0.3126987216922977,1.0,0.2170892157587405,1949.9007235091815,3220.4666666666667,0.0,10592.0,52960.0,21600.0,74560.0,20.0,5.0,15.0,160.0
2,February,s22121,fifo,8,15411,1882,13529,0.1221,0.0563882940756602,0.0106269925611052,0.0627540838199423,4069.847928968486,6155.733333333334,1862.0,12680.0,100640.0,19200.0,119840.0,20.0,5.0,15.0,160.0
2,February,s22121,urgent_first,8,15411,1882,13529,0.1221,0.1532022581273116,1.0,0.0354054253825116,4068.9157690394304,6555.766666666666,0.0,13050.0,65250.0,19200.0,84450.0,20.0,5.0,15.0,160.0
2,February,s22121,rl5_dqn,8,15411,1882,13529,0.1221,0.1504120433456622,1.0,0.0322270677803237,4097.577587437544,6551.466666666666,0.0,13093.0,65465.0,19200.0,84665.0,20.0,5.0,15.0,160.0
2,February,s22112,fifo,8,15411,1882,13529,0.1221,0.0554149633378755,0.0106269925611052,0.0616453544238302,4104.327828607272,6209.733333333334,1862.0,12695.0,100715.0,19200.0,119915.0,20.0,5.0,15.0,160.0
2,February,s22112,urgent_first,8,15411,1882,13529,0.1221,0.1504120433456622,1.0,0.0322270677803237,4156.961273332901,6576.516666666666,0.0,13093.0,65465.0,19200.0,84665.0,20.0,5.0,15.0,160.0
2,February,s22112,rl5_dqn,8,15411,1882,13529,0.1221,0.1511258192200376,1.0,0.0330401360041392,4087.6352237579217,6554.016666666666,0.0,13082.0,65410.0,19200.0,84610.0,20.0,5.0,15.0,160.0
3,March,s11111,fifo,5,19430,2300,17130,0.1184,0.014462171899125,0.0026086956521739,0.0160537069468768,29315.856475381715,51163.848333333335,2294.0,16855.0,130155.0,12000.0,142155.0,20.0,5.0,15.0,160.0
3,March,s11111,urgent_first,5,19430,2300,17130,0.1184,0.1272259392691714,1.0,0.0100408639813193,29216.45748670441,51701.99833333334,0.0,16958.0,84790.0,12000.0,96790.0,20.0,5.0,15.0,160.0
3,March,s11111,rl5_dqn,5,19430,2300,17130,0.1184,0.1265568708183221,1.0,0.0092819614711033,29420.563575227312,51910.145,0.0,16971.0,84855.0,12000.0,96855.0,20.0,5.0,15.0,160.0
3,March,s21111,fifo,6,19430,2300,17130,0.1184,0.0297992794647452,0.007391304347826,0.0328079392877991,7239.001744724653,11578.441666666666,2283.0,16568.0,128500.0,14400.0,142900.0,20.0,5.0,15.0,160.0
3,March,s21111,urgent_first,6,19430,2300,17130,0.1184,0.1393721049922799,1.0,0.0238178633975481,7309.729149939956,12351.710000000005,0.0,16722.0,83610.0,14400.0,98010.0,20.0,5.0,15.0,160.0
3,March,s21111,rl5_dqn,6,19430,2300,17130,0.1184,0.1398867730313947,1.0,0.0244016345592527,7218.289974266598,12262.358333333334,0.0,16712.0,83560.0,14400.0,97960.0,20.0,5.0,15.0,160.0
3,March,s31111,fifo,7,19430,2300,17130,0.1184,0.0297992794647452,0.007391304347826,0.0328079392877991,7287.288986103963,11628.756666666668,2283.0,16568.0,128500.0,16800.0,145300.0,20.0,5.0,15.0,160.0
3,March,s31111,urgent_first,7,19430,2300,17130,0.1184,0.1396294390118373,1.0,0.0241097489784004,7238.78157831532,12272.646666666667,0.0,16717.0,83585.0,16800.0,100385.0,20.0,5.0,15.0,160.0
3,March,s31111,rl5_dqn,7,19430,2300,17130,0.1184,0.1399382398353062,1.0,0.0244600116754232,7291.463271573169,12320.44,0.0,16711.0,83555.0,16800.0,100355.0,20.0,5.0,15.0,160.0
3,March,s32111,fifo,8,19430,2300,17130,0.1184,0.0292331446217189,0.007391304347826,0.0321657910099241,7220.591020758279,11533.466666666667,2283.0,16579.0,128555.0,19200.0,147755.0,20.0,5.0,15.0,160.0
3,March,s32111,urgent_first,8,19430,2300,17130,0.1184,0.1398867730313947,1.0,0.0244016345592527,7247.990826042203,12289.338333333331,0.0,16712.0,83560.0,19200.0,102760.0,20.0,5.0,15.0,160.0
3,March,s32111,rl5_dqn,8,19430,2300,17130,0.1184,0.1398353062274832,1.0,0.0243432574430823,7248.001309830159,12273.221666666666,0.0,16713.0,83565.0,19200.0,102765.0,20.0,5.0,15.0,160.0
3,March,s32211,fifo,9,19430,2300,17130,0.1184,0.8879053010808029,0.0530434782608695,1.0,755.9429430434036,1121.3666666666666,2178.0,0.0,43560.0,21600.0,65160.0,20.0,5.0,15.0,160.0
3,March,s32211,urgent_first,9,19430,2300,17130,0.1184,0.995676788471436,1.0,0.9950963222416812,749.0596105678504,1200.1733333333336,0.0,84.0,420.0,21600.0,22020.0,20.0,5.0,15.0,160.0
3,March,s32211,rl5_dqn,9,19430,2300,17130,0.1184,0.9642305712815236,0.6978260869565217,1.0,747.020407445531,1138.7000000000005,695.0,0.0,13900.0,21600.0,35500.0,20.0,5.0,15.0,160.0
3,March,s32221,fifo,10,19430,2300,17130,0.1184,0.8881626351003603,0.0552173913043478,1.0,753.1524386687253,1120.981666666667,2173.0,0.0,43460.0,24000.0,67460.0,20.0,5.0,15.0,160.0
3,March,s32221,urgent_first,10,19430,2300,17130,0.1184,0.9966031909418424,1.0,0.9961471103327496,758.4584680048035,1209.8100000000002,0.0,66.0,330.0,24000.0,24330.0,20.0,5.0,15.0,160.0
3,March,s32221,rl5_dqn,10,19430,2300,17130,0.1184,0.9642305712815236,0.6978260869565217,1.0,749.9366357865844,1133.236666666667,695.0,0.0,13900.0,24000.0,37900.0,20.0,5.0,15.0,160.0
3,March,s33322,fifo,13,19430,2300,17130,0.1184,0.8884199691199176,0.057391304347826,1.0,754.6447958483444,1116.4950000000003,2168.0,0.0,43360.0,31200.0,74560.0,20.0,5.0,15.0,160.0
3,March,s33322,urgent_first,13,19430,2300,17130,0.1184,0.9960885229027278,1.0,0.995563339171045,763.7341919711786,1228.843333333334,0.0,76.0,380.0,31200.0,31580.0,20.0,5.0,15.0,160.0
3,March,s33322,rl5_dqn,13,19430,2300,17130,0.1184,0.9694287184765826,0.7417391304347826,1.0,746.7326428203809,1137.1033333333332,594.0,0.0,11880.0,31200.0,43080.0,20.0,5.0,15.0,160.0
3,March,s32121,fifo,9,19430,2300,17130,0.1184,0.0296448790530108,0.007391304347826,0.0326328079392878,7248.709891061932,11613.960000000005,2283.0,16571.0,128515.0,21600.0,150115.0,20.0,5.0,15.0,160.0
3,March,s32121,urgent_first,9,19430,2300,17130,0.1184,0.1398353062274832,1.0,0.0243432574430823,7300.0155163836,12395.55,0.0,16713.0,83565.0,21600.0,105165.0,20.0,5.0,15.0,160.0
3,March,s32121,rl5_dqn,9,19430,2300,17130,0.1184,0.1394750386001029,1.0,0.023934617629889,7229.849796706125,12269.398333333334,0.0,16720.0,83600.0,21600.0,105200.0,20.0,5.0,15.0,160.0
3,March,s32112,fifo,9,19430,2300,17130,0.1184,0.0296963458569222,0.007391304347826,0.0326911850554582,7169.490116658089,11480.743333333334,2283.0,16570.0,128510.0,21600.0,150110.0,20.0,5.0,15.0,160.0
3,March,s32112,urgent_first,9,19430,2300,17130,0.1184,0.1397323726196603,1.0,0.0242265032107413,7283.932160747984,12388.60166666667,0.0,16715.0,83575.0,21600.0,105175.0,20.0,5.0,15.0,160.0
3,March,s32112,rl5_dqn,9,19430,2300,17130,0.1184,0.1398867730313947,1.0,0.0244016345592527,7220.519377251672,12244.23,0.0,16712.0,83560.0,21600.0,105160.0,20.0,5.0,15.0,160.0
3,March,s32212,fifo,10,19430,2300,17130,0.1184,0.8881111682964488,0.0547826086956521,1.0,758.3098455995882,1121.621666666667,2174.0,0.0,43480.0,24000.0,67480.0,20.0,5.0,15.0,160.0
3,March,s32212,urgent_first,10,19430,2300,17130,0.1184,0.9918682449819868,1.0,0.9907764156450672,773.2077406073083,1238.7716666666668,0.0,158.0,790.0,24000.0,24790.0,20.0,5.0,15.0,160.0
3,March,s32212,rl5_dqn,10,19430,2300,17130,0.1184,0.9643335048893464,0.698695652173913,1.0,738.5814264882484,1122.1733333333336,693.0,0.0,13860.0,24000.0,37860.0,20.0,5.0,15.0,160.0
3,March,s33211,fifo,10,19430,2300,17130,0.1184,0.8884199691199176,0.057391304347826,1.0,749.9579584834448,1113.4350000000004,2168.0,0.0,43360.0,24000.0,67360.0,20.0,5.0,15.0,160.0
3,March,s33211,urgent_first,10,19430,2300,17130,0.1184,0.99547092125579,1.0,0.9948628137769994,747.1632115285641,1205.3583333333338,0.0,88.0,440.0,24000.0,24440.0,20.0,5.0,15.0,160.0
3,March,s33211,rl5_dqn,10,19430,2300,17130,0.1184,0.9642305712815236,0.6978260869565217,1.0,742.7507119574541,1130.5166666666669,695.0,0.0,13900.0,24000.0,37900.0,20.0,5.0,15.0,160.0
3,March,s42211,fifo,10,19430,2300,17130,0.1184,0.917807514153371,0.3056521739130435,1.0,367.7041370732544,666.9216666666667,1597.0,0.0,31940.0,24000.0,55940.0,20.0,5.0,15.0,160.0
3,March,s42211,urgent_first,10,19430,2300,17130,0.1184,1.0,1.0,1.0,369.3003568365072,687.5516666666666,0.0,0.0,0.0,24000.0,24000.0,20.0,5.0,15.0,160.0
3,March,s42211,rl5_dqn,10,19430,2300,17130,0.1184,0.9851260936695831,0.8743478260869565,1.0,367.17934208269,665.1,289.0,0.0,5780.0,24000.0,29780.0,20.0,5.0,15.0,160.0
3,March,s23211,fifo,9,19430,2300,17130,0.1184,0.0459083890890375,0.0082608695652173,0.0509632224168126,4473.651845942701,6795.65,2281.0,16257.0,126905.0,21600.0,148505.0,20.0,5.0,15.0,160.0
3,March,s23211,urgent_first,9,19430,2300,17130,0.1184,0.1444158517756047,1.0,0.0295388207822533,4352.15013896037,7062.958333333334,0.0,16624.0,83120.0,21600.0,104720.0,20.0,5.0,15.0,160.0
