episode,scenario,workers,start_idx,sla_rate,sla_urgent,sla_normal,ma5_sla,epsilon,loss_mean,buffer_size,updates_done,grad_step_total,total_decisions,p_urgent_overall,pick_dec_pts,pick_pct_urgent,qc_dec_pts,qc_pct_urgent,pack_dec_pts,pack_pct_urgent,lab_dec_pts,lab_pct_urgent,disp_dec_pts,disp_pct_urgent,runtime_s
31,s21111,2-1-1-1-1,142091,0.225,1.0,0.12211146352514726,0.36184000000000005,0.41842900000000005,1.8961974515914917,153045,125,15500,4652,0.7381771281169389,1545,0.7579288025889968,1660,0.6680722891566265,1433,0.801814375436148,0,0.0,14,0.35714285714285715,16.35
32,s31111,3-1-1-1-1,106759,0.2531,1.0,0.14951036210430427,0.35586,0.4004588,1.8954581670761108,157774,125,16000,4729,0.7635863818989216,1535,0.7771986970684039,1709,0.7121123464014043,1468,0.8126702997275205,0,0.0,17,0.47058823529411764,19.76
33,s21111,2-1-1-1-1,43529,0.2324,0.9983050847457627,0.12993197278911564,0.27178,0.3812384,2.1269005374908447,162832,125,16500,5058,0.6555950968762356,1633,0.7225964482547459,1751,0.5591090805254141,1661,0.6917519566526189,0,0.0,13,0.6153846153846154,15.88
34,s31111,3-1-1-1-1,46737,0.2473,1.0,0.14358857662987826,0.28822000000000003,0.3631732,1.9629343957901002,167586,125,17000,4754,0.764829617164493,1560,0.7743589743589744,1698,0.7126030624263839,1484,0.8140161725067385,0,0.0,12,0.8333333333333334,22.67
35,s32111,3-2-1-1-1,121311,0.4763,0.9504541701073493,0.41096825577426327,0.28681999999999996,0.3456096000000001,1.900875150680542,172208,125,17500,4622,0.5556036347901342,2099,0.5616960457360648,391,0.45012787723785164,2124,0.5696798493408662,0,0.0,8,0.375,23.72
36,s32111,3-2-1-1-1,94441,0.2291,0.9902200488997555,0.12264903681750826,0.28764,0.322631,1.8238519411087035,178255,125,18000,6047,0.4207044815611047,3949,0.30969865788807294,363,0.24517906336088155,1724,0.7105568445475638,0,0.0,11,0.6363636363636364,11.25
37,s31111,3-1-1-1-1,104178,0.2261,1.0,0.11766047201003306,0.28224,0.30232000000000003,2.151821617126465,183600,125,18500,5345,0.6856875584658559,2291,0.5312090790048014,1593,0.770872567482737,1450,0.8358620689655173,0,0.0,11,0.7272727272727273,11.22
38,s21111,2-1-1-1-1,217566,0.1581,1.0,0.040897698792435634,0.26738,0.28539860000000006,1.961531862258911,188053,125,19000,4453,0.8008084437457893,1447,0.8438147892190739,1496,0.7627005347593583,1503,0.7990685296074518,0,0.0,7,0.42857142857142855,11.52
39,s32111,3-2-1-1-1,120936,0.5287,0.9532554257095158,0.47091570097705066,0.32365999999999995,0.27028220000000003,1.9387172412872316,192031,125,19500,3978,0.6359979889391654,1638,0.7118437118437119,301,0.5382059800664452,2025,0.5901234567901235,0,0.0,14,0.5,19.52
40,s31111,3-1-1-1-1,124882,0.5025,1.0,0.4338871187983614,0.32889999999999997,0.2530302000000001,1.9056022348403931,196571,125,20000,4540,0.7958149779735683,1382,0.8581765557163531,1592,0.7600502512562815,1546,0.7787839586028461,0,0.0,20,0.65,17.63
41,s31111,3-1-1-1-1,85060,0.2219,1.0,0.11327635327635327,0.32746,0.23046960000000005,2.1774270639419555,202508,125,20500,5937,0.6171467070911235,2993,0.40828600066822585,1529,0.8005232177894048,1409,0.8608942512420156,0,0.0,6,0.8333333333333334,11.66
42,s31111,3-1-1-1-1,54718,0.2077,1.0,0.09688817964208367,0.32377999999999996,0.2105994,2.063893449783325,207737,125,21000,5229,0.703576209600306,2315,0.5269978401727862,1525,0.8039344262295082,1378,0.8867924528301887,0,0.0,11,1.0,18.97
43,s31111,3-1-1-1-1,175941,0.2079,1.0,0.09225303690121477,0.33374,0.18844919999999998,1.9925880842208863,213566,125,21500,5829,0.6548293017670269,2915,0.4367066895368782,1500,0.8473333333333334,1408,0.8998579545454546,0,0.0,6,1.0,19.9
44,s31111,3-1-1-1-1,39935,0.2437,1.0,0.14552028019432833,0.27674,0.16703619999999997,1.9712879991531371,219201,125,22000,5635,0.6095829636202307,2957,0.3862022319918837,1375,0.8341818181818181,1293,0.880123743232792,0,0.0,10,0.8,12.81
45,s21111,2-1-1-1-1,71930,0.1643,1.0,0.04730962152302782,0.2091,0.14976140000000004,2.2534204568862917,223747,125,22500,4546,0.8013638363396393,1427,0.8605466012613875,1609,0.7346177750155376,1500,0.8166666666666667,0,0.0,10,0.8,7.2
46,s31111,3-1-1-1-1,3329,0.3065,1.0,0.21318357159065124,0.22602000000000003,0.13264240000000005,2.105131037712097,228252,125,23000,4505,0.786015538290788,1674,0.7001194743130227,1493,0.7937039517749498,1327,0.8854559155990958,0,0.0,11,0.8181818181818182,9.44
47,s32111,3-2-1-1-1,7486,0.2778,1.0,0.17782331511839708,0.24003999999999998,0.11625300000000005,2.0411687812805175,232565,125,23500,4313,0.5921632274518897,2551,0.471187769502156,275,0.48,1482,0.8205128205128205,0,0.0,5,0.8,13.52
48,s32111,3-2-1-1-1,114241,0.49,0.9917218543046358,0.4210646041856233,0.29646,0.10247419999999996,2.0251341733932495,236191,125,24000,3626,0.7107004964147822,1591,0.7435575109993715,272,0.6691176470588235,1746,0.6895761741122566,0,0.0,17,0.47058823529411764,25.05
49,s31111,3-1-1-1-1,107711,0.2568,1.0,0.15314494074749316,0.29908,0.08263060000000011,2.2306879596710205,241413,125,24500,5222,0.6970509383378016,2325,0.5169892473118279,1588,0.7688916876574308,1301,0.930053804765565,0,0.0,8,0.875,18.57
50,s32211,3-2-2-1-1,29368,0.9782,0.8168067226890756,1.0,0.46186,0.050000000000000044,2.061056272506714,251811,125,25000,10398,0.15801115599153684,7175,0.1657142857142857,377,0.22281167108753316,1135,0.173568281938326,28,0.17857142857142858,1683,0.09982174688057041,18.74
51,s21111,2-1-1-1-1,59239,0.2063,1.0,0.09847796456156292,0.44182,0.050000000000000044,2.0334571142196656,256626,125,25500,4815,0.7370716510903427,1637,0.7293830177153329,1803,0.6450360510260676,1373,0.8667152221412965,0,0.0,2,1.0,13.08
52,s31111,3-1-1-1-1,731,0.2516,1.0,0.15002839295854628,0.43658,0.050000000000000044,2.025693580627441,261288,125,26000,4662,0.7664092664092664,2106,0.560303893637227,1321,0.9023467070401211,1226,0.9730831973898858,0,0.0,9,0.8888888888888888,16.73
53,s32211,3-2-2-1-1,87645,0.9279,0.892,0.9330285714285714,0.52416,0.050000000000000044,2.212135488510132,271477,125,26500,10189,0.15438217685739522,7293,0.1705745235157,377,0.18037135278514588,1003,0.14057826520438685,31,0.22580645161290322,1485,0.07609427609427609,19.79
54,s31111,3-1-1-1-1,132450,0.3951,0.9942196531791907,0.3125497781317556,0.55182,0.050000000000000044,2.08193687915802,276744,125,27000,5267,0.6871084108600721,2603,0.4594698424894353,1306,0.9264931087289433,1345,0.8936802973977696,0,0.0,13,0.8461538461538461,20.63
55,s31111,3-1-1-1-1,98278,0.24,0.9916387959866221,0.13789186733303044,0.40418000000000004,0.050000000000000044,2.068661499977112,283640,125,27500,6896,0.5187064965197216,4227,0.2827064111663118,1445,0.827681660899654,1218,0.9688013136288999,0,0.0,6,1.0,20.44
56,s21111,2-1-1-1-1,192073,0.1813,1.0,0.07439231204070096,0.39918,0.050000000000000044,2.06904035949707,287607,125,28000,3967,0.8414418956390219,1501,0.7681545636242505,1273,0.8593872741555381,1193,0.914501257334451,0,0.0,0,0.0,15.09
57,s21111,2-1-1-1-1,141792,0.2519,0.9974619289340102,0.15196189612156952,0.39924,0.050000000000000044,2.209027869224548,293063,125,28500,5456,0.6429618768328446,2383,0.4955937893411666,1597,0.7182216656230432,1470,0.8,0,0.0,6,0.6666666666666666,19.82
58,s21111,2-1-1-1-1,61199,0.2377,0.9966044142614601,0.13636363636363635,0.2612,0.050000000000000044,2.1595081310272217,298326,125,29000,5263,0.664639939198176,2189,0.5376884422110553,1628,0.7045454545454546,1437,0.8121085594989561,0,0.0,9,0.7777777777777778,20.14
59,s21111,2-1-1-1-1,186535,0.2282,0.9958745874587459,0.12232589895311789,0.22782,0.050000000000000044,2.0926499452590943,300000,125,29500,4523,0.7771390669909353,1788,0.6767337807606264,1282,0.8502340093603744,1442,0.8384188626907073,0,0.0,11,0.5454545454545454,14.98
60,s32111,3-2-1-1-1,114881,0.4811,1.0,0.4101398203933159,0.27604,0.050000000000000044,2.0141636381149293,300000,125,30000,4297,0.5927391203164999,2399,0.48978741142142557,321,0.5327102803738317,1574,0.7623888182973316,0,0.0,3,0.3333333333333333,18.39
61,s32111,3-2-1-1-1,174526,0.2179,0.9952456418383518,0.10563057907988098,0.28336,0.050000000000000044,2.2164035043716432,300000,125,30500,5241,0.5058195000954017,3311,0.3808517064331018,306,0.40522875816993464,1617,0.7804576376004947,0,0.0,7,0.5714285714285714,20.83
62,s21111,2-1-1-1-1,130200,0.4365,0.9779951100244498,0.3607659865496409,0.32028,0.050000000000000044,2.107788951873779,300000,125,31000,8872,0.40779981965734896,4484,0.2734165923282783,2523,0.464922711058264,1850,0.6572972972972972,0,0.0,15,0.2,14.25
63,s32111,3-2-1-1-1,100611,0.1621,0.9950413223140496,0.04744027303754266,0.30516,0.050000000000000044,2.0329012670516966,300000,125,31500,5666,0.4466996117190258,4069,0.2973703612681248,301,0.3521594684385382,1291,0.9372579395817195,0,0.0,5,1.0,21.12
64,s31111,3-1-1-1-1,91115,0.2129,0.9991941982272361,0.10149560452106404,0.3021,0.050000000000000044,2.0689887704849244,300000,125,32000,6686,0.5569847442416991,4036,0.30698711595639244,1374,0.9032023289665211,1265,0.974703557312253,0,0.0,11,1.0,16.59
65,s31111,3-1-1-1-1,5114,0.1956,1.0,0.08476504721811355,0.24500000000000002,0.050000000000000044,2.1049031887054444,300000,125,32500,5813,0.6222260450713917,3213,0.37254901960784315,1355,0.8929889298892989,1238,0.9717285945072698,0,0.0,7,1.0,14.95
66,s21111,2-1-1-1-1,107950,0.2835,0.9852700490998363,0.18580542264752792,0.25812,0.050000000000000044,2.057061166763306,300000,125,33000,6889,0.5214109449847583,3025,0.4036363636363636,2411,0.49108253836582333,1444,0.8178670360110804,0,0.0,9,0.6666666666666666,15.79
67,s32111,3-2-1-1-1,143418,0.1891,0.9982817869415808,0.08250339520144861,0.20864,0.050000000000000044,2.0186006174087523,300000,125,33500,5700,0.43491228070175436,4105,0.2828258221680877,322,0.4503105590062112,1263,0.9208234362628662,0,0.0,10,1.0,20.93
68,s32111,3-2-1-1-1,217606,0.1582,1.0,0.04123006833712984,0.20786,0.050000000000000044,2.004465278625488,300000,125,34000,3679,0.6980157651535743,2182,0.5591200733272227,214,0.5887850467289719,1279,0.9530883502736512,0,0.0,4,0.75,19.28
69,s31111,3-1-1-1-1,100124,0.1918,1.0,0.08085977482088025,0.20364,0.050000000000000044,1.9361928644180297,300000,125,34500,7177,0.5045283544656541,4160,0.28894230769230766,1768,0.6826923076923077,1239,0.970137207425343,0,0.0,10,1.0,25.5
70,s31111,3-1-1-1-1,111697,0.4682,1.0,0.39629923941423545,0.25816,0.050000000000000044,1.8187956771850586,300000,125,35000,7009,0.5052075902411186,4437,0.26143790849673204,1341,0.8859060402684564,1220,0.969672131147541,0,0.0,11,0.9090909090909091,23.99
71,s32211,3-2-2-1-1,119396,0.9993,0.9941520467836257,1.0,0.40132,0.050000000000000044,1.817104552268982,300000,125,35500,8633,0.2555311015869339,6262,0.18412647716384542,383,0.3342036553524804,878,0.43507972665148065,48,0.5,1062,0.4887005649717514,26.0
72,s32211,3-2-2-1-1,93975,0.967,0.7512234910277324,0.9971506724413038,0.5569,0.050000000000000044,1.767595917701721,300000,125,36000,10348,0.20506378044066487,8313,0.14675808973896307,336,0.34226190476190477,711,0.4247538677918425,40,0.5,948,0.49050632911392406,20.46
73,s31111,3-1-1-1-1,223288,0.1621,1.0,0.04207156739453527,0.55768,0.050000000000000044,1.7764441032409668,300000,125,36500,5080,0.7366141732283464,2113,0.5929957406530999,1699,0.7357268981753973,1266,0.9770932069510269,0,0.0,2,1.0,23.85
74,s31111,3-1-1-1-1,112328,0.4163,1.0,0.33504215083162453,0.60258,0.050000000000000044,1.690079746246338,300000,125,37000,7412,0.48502428494333516,4798,0.248020008336807,1365,0.8923076923076924,1242,0.9500805152979066,0,0.0,7,1.0,34.36
75,s32111,3-2-1-1-1,140333,0.1693,1.0,0.05997510467353174,0.5428,0.050000000000000044,1.6696046924591064,300000,125,37500,4782,0.5123379339188624,3222,0.35971446306641836,305,0.39672131147540984,1247,0.9318364073777065,0,0.0,8,1.0,29.98
76,s21111,2-1-1-1-1,171092,0.1987,1.0,0.08328566525569157,0.38268,0.050000000000000044,1.6630453052520753,300000,125,38000,4321,0.8646146725295071,1617,0.7773654916512059,1384,0.8822254335260116,1313,0.9527798933739527,0,0.0,7,1.0,20.86
77,s32111,3-2-1-1-1,46389,0.191,1.0,0.07837776258828891,0.22748,0.050000000000000044,1.7106646766662599,300000,125,38500,4483,0.5706000446129824,2811,0.43329775880469584,327,0.327217125382263,1333,0.9167291822955739,0,0.0,12,0.9166666666666666,25.82
78,s31111,3-1-1-1-1,108303,0.2872,1.0,0.18796992481203006,0.2525,0.050000000000000044,1.617628945350647,300000,125,39000,6030,0.603150912106136,3180,0.3754716981132076,1572,0.7760814249363868,1266,0.9565560821484992,0,0.0,12,1.0,27.24
79,s31111,3-1-1-1-1,204388,0.1611,1.0,0.04081865995883833,0.20146000000000003,0.050000000000000044,1.634000334739685,300000,125,39500,4211,0.8798385181667062,1659,0.7540687160940326,1302,0.9623655913978495,1246,0.9614767255216693,0,0.0,4,0.75,16.61
80,s32111,3-2-1-1-1,220422,0.2126,1.0,0.10206408940586156,0.21012,0.050000000000000044,1.5866950588226318,300000,125,40000,3410,0.7621700879765396,1795,0.6852367688022284,196,0.6887755102040817,1415,0.8692579505300353,0,0.0,4,1.0,30.28
81,s31111,3-1-1-1-1,40537,0.1912,1.0,0.08692707157371868,0.20861999999999997,0.050000000000000044,1.5848647804260254,300000,125,40500,4761,0.7210670027305188,2204,0.5176950998185118,1331,0.8580015026296018,1216,0.9375,0,0.0,10,1.0,26.32
82,s21111,2-1-1-1-1,196728,0.1554,1.0,0.042837715321849504,0.2015,0.050000000000000044,1.582576976776123,300000,125,41000,4026,0.8718330849478391,1394,0.8428981348637016,1331,0.8745304282494365,1300,0.9,0,0.0,1,1.0,19.56
83,s21111,2-1-1-1-1,68880,0.2384,1.0,0.1320797720797721,0.19174,0.050000000000000044,1.5214923553466797,300000,125,41500,4902,0.7419420644634843,1930,0.6341968911917099,1602,0.7409488139825219,1363,0.8950843727072634,0,0.0,7,0.8571428571428571,13.31
84,s21111,2-1-1-1-1,347,0.2858,1.0,0.18767060964513194,0.21668000000000004,0.050000000000000044,1.502634036064148,300000,125,42000,5225,0.6669856459330143,2085,0.5793764988009592,1725,0.6220289855072464,1397,0.8518253400143164,0,0.0,18,0.7777777777777778,10.61
85,s32111,3-2-1-1-1,43689,0.2198,1.0,0.1152188704921751,0.21812,0.050000000000000044,1.4678308362960815,300000,125,42500,4110,0.6048661800486618,2407,0.4898213543830494,279,0.43010752688172044,1418,0.8328631875881524,0,0.0,6,1.0,17.87
86,s31111,3-1-1-1-1,74555,0.2415,1.0,0.1324488161958138,0.22818,0.050000000000000044,1.5029267253875733,300000,125,43000,5123,0.7280890103455007,2296,0.5457317073170732,1523,0.824688115561392,1299,0.9376443418013857,0,0.0,5,0.6,14.85
87,s31111,3-1-1-1-1,188910,0.1551,1.0,0.03966810638781541,0.22812000000000002,0.050000000000000044,1.4663019490242004,300000,125,43500,4064,0.8887795275590551,1511,0.7954996690933157,1295,0.9281853281853282,1252,0.9600638977635783,0,0.0,6,1.0,19.24
88,s31111,3-1-1-1-1,78510,0.2056,1.0,0.09387475761377895,0.22155999999999998,0.050000000000000044,1.4753749389648438,300000,125,44000,4897,0.7551562180927098,2112,0.5809659090909091,1462,0.8426812585499316,1316,0.9361702127659575,0,0.0,7,1.0,18.24
89,s31111,3-1-1-1-1,65058,0.2248,1.0,0.12198436969079171,0.20936,0.050000000000000044,1.4431616916656493,300000,125,44500,5090,0.6884086444007859,2415,0.48405797101449277,1398,0.8376251788268956,1265,0.9106719367588932,0,0.0,12,1.0,17.57
90,s32211,3-2-2-1-1,187715,0.23,1.0,0.1245025582717453,0.21139999999999998,0.050000000000000044,1.423001784801483,300000,125,45000,4582,0.40724574421649934,2698,0.44551519644180876,253,0.33992094861660077,647,0.43431221020092736,34,0.38235294117647056,950,0.29894736842105263,12.73
91,s21111,2-1-1-1-1,170991,0.2065,1.0,0.0924167905753174,0.2044,0.050000000000000044,1.3945820503234863,300000,125,45500,4459,0.8313523211482395,1611,0.7796399751707014,1457,0.8256691832532601,1387,0.8976207642393655,0,0.0,4,0.75,16.93
92,s31111,3-1-1-1-1,129340,0.3911,1.0,0.30593867548159126,0.2516,0.050000000000000044,1.4072445158958435,300000,125,46000,7512,0.48722044728434505,4303,0.2772484313269812,1715,0.7154518950437317,1478,0.8301759133964818,0,0.0,16,0.8125,14.71
93,s31111,3-1-1-1-1,13290,0.2469,1.0,0.13872369624885636,0.25986000000000004,0.050000000000000044,1.3692670469284058,300000,125,46500,5344,0.7028443113772455,2354,0.5293118096856415,1639,0.7663209273947529,1346,0.9279346210995543,0,0.0,5,1.0,11.83
94,s32111,3-2-1-1-1,67745,0.1988,1.0,0.08674341730308903,0.25466,0.050000000000000044,1.3736466822624207,300000,125,47000,3485,0.7538020086083214,1826,0.6714129244249726,288,0.5798611111111112,1364,0.8995601173020528,0,0.0,7,1.0,14.93
95,s32111,3-2-1-1-1,121017,0.5127,1.0,0.4463758236764372,0.31120000000000003,0.050000000000000044,1.313619770050049,300000,125,47500,7147,0.3338463691059186,4797,0.23994163018553263,435,0.04827586206896552,1893,0.6323296354992076,0,0.0,22,0.7727272727272727,23.66
96,s31111,3-1-1-1-1,57185,0.2547,1.0,0.15345297592003634,0.32084,0.050000000000000044,1.339254156589508,300000,125,48000,4965,0.7190332326283988,2135,0.5587822014051522,1519,0.7867017774851877,1306,0.9019908116385911,0,0.0,5,0.8,18.29
97,s32211,3-2-2-1-1,199716,0.3603,0.99833748960931,0.27304762987382064,0.31468,0.050000000000000044,1.3486470494270324,300000,125,48500,4461,0.47926473884779197,2792,0.43015759312320917,201,0.4975124378109453,573,0.6160558464223386,26,0.6538461538461539,869,0.5373993095512083,12.2
98,s32111,3-2-1-1-1,135160,0.3684,1.0,0.281374445329389,0.33898,0.050000000000000044,1.334435007095337,300000,125,49000,5646,0.43393552957846265,3595,0.33129346314325453,315,0.13015873015873017,1728,0.7008101851851852,0,0.0,8,0.875,27.42
99,s21111,2-1-1-1-1,107459,0.2917,1.0,0.19383109492374231,0.35756,0.050000000000000044,1.3652832322120667,300000,125,49500,4849,0.7283976077541762,1843,0.6576234400434074,1622,0.689272503082614,1377,0.8678286129266521,0,0.0,7,1.0,13.41
100,s32211,3-2-2-1-1,6290,0.9995,0.9958881578947368,1.0,0.45492,0.050000000000000044,1.2978952436447144,300000,125,50000,8631,0.21932568647897116,6109,0.19495825830741528,398,0.135678391959799,896,0.2845982142857143,33,0.36363636363636365,1195,0.3188284518828452,10.99
